activity_code,title,status,reason,activity_id,city_csv,city_resolved,country_csv,country_resolved,price_rows,cache_price,cache_price_markup,mode
256729,"Snow Monkeys, Zenko-ji Temple & Sake in Nagano day tour",skipped_location,"city missing=['Nagano'] resolved=[], country found=True",,Nagano,,Japan,Japan,0,,,live
614581,Osaka Car Rental with Driver to Kyoto/Kobe/Nara/Osaka,inserted,,6a1597c889b19804ccc46687,"Osaka, Kyoto, Nagoya, Tokyo","Osaka, Kyoto, Nagoya, Tokyo",Japan,Japan,1,139657.14,20948.57,live
695165,"Asahiyama Zoo & Biei Blue Pond & Shirogane Falls or Farm Tomita Day Trip (Departing from Sapporo, Hokkaido, includes original souvenir)",skipped_location,"city missing=['Asahikawa', 'Biei'] resolved=['Sapporo'], country found=True",,"Sapporo, Asahikawa, Biei",Sapporo,Japan,Japan,0,,,live
545829,Osaka Car Rental with Driver to Kyoto/Kobe/Nara/Osaka,inserted,,6a1597c889b19804ccc4668a,"Osaka, Kyoto","Osaka, Kyoto",Japan,Japan,1,18082.19,2712.33,live
467912,[Kyoto Classic Deep Dive] Kinkaku-ji & Kiyomizu-dera Temple & Ninenzaka & Gion/Hanamikoji Street & Yasaka Shrine & Fushimi Inari-taisha Shrine In-Depth Slow Travel Day Tour (Departure from Osaka/Kyoto),inserted,,6a1597c989b19804ccc4668d,"Osaka, Kyoto","Osaka, Kyoto",Japan,Japan,1,5739.79,860.97,live
537827,Tokyo Departure: Car Rental with Driver to Tokyo/Yokohama/Kamakura - English-speaking Driver,skipped_location,"city missing=['Yokohama'] resolved=['Tokyo'], country found=True",,"Tokyo, Yokohama",Tokyo,Japan,Japan,0,,,live
533587,Tokyo Departure: Car Rental with Driver to Tokyo/Yokohama/Kamakura - English-speaking Driver,inserted,,6a1597c989b19804ccc46690,Tokyo,Tokyo,Japan,Japan,1,11025.85,1653.88,live
297252,JR Whole Japan Rail Pass,skipped_location,"city missing=['Nationwide', 'Japan'] resolved=[], country found=True",,"Nationwide, Japan",,Japan,Japan,0,,,live
537798,Tokyo Departure: Car Rental with Driver to Tokyo/Yokohama/Kamakura - English-speaking Driver,skipped_location,"city missing=['Yokohama'] resolved=['Tokyo'], country found=True",,"Tokyo, Yokohama",Tokyo,Japan,Japan,0,,,live
539026,Tokyo Departure: Car Rental with Driver to Tokyo/Yokohama/Kamakura - English-speaking Driver,skipped_location,"city missing=['Kamakura'] resolved=['Tokyo'], country found=True",,"Tokyo, Kamakura",Tokyo,Japan,Japan,0,,,live
517147,Mount Fuji and Lake Kawaguchiko Day Trip from Tokyo,skipped_location,"city missing=['Mount Fuji', 'Kawaguchiko'] resolved=['Tokyo'], country found=True",,"Tokyo, Mount Fuji, Kawaguchiko",Tokyo,Japan,Japan,0,,,live
545862,Osaka Car Rental with Driver to Kyoto/Kobe/Nara/Osaka,inserted,,6a1597ca89b19804ccc46693,"Osaka, Nara","Osaka, Nara",Japan,Japan,1,20580.93,3087.14,live
478317,Mount Fuji Panoramic Day Trip (From Tokyo),skipped_location,"city missing=['Mount Fuji'] resolved=['Tokyo'], country found=True",,"Tokyo, Mount Fuji",Tokyo,Japan,Japan,0,,,live
539002,Tokyo Departure: Car Rental with Driver to Tokyo/Yokohama/Kamakura - English-speaking Driver,skipped_location,"city missing=['Kamakura'] resolved=['Tokyo'], country found=True",,"Tokyo, Kamakura",Tokyo,Japan,Japan,0,,,live
539010,Tokyo Departure: Car Rental with Driver to Tokyo/Yokohama/Kamakura - English-speaking Driver,skipped_location,"city missing=['Kamakura'] resolved=['Tokyo'], country found=True",,"Tokyo, Kamakura",Tokyo,Japan,Japan,0,,,live
678074,Kyoto Amanohashidate & Ine Funaya & Ine Bay Scenic Day Trip (Departing from Osaka or Kyoto),skipped_location,"city missing=['Amanohashidate', 'Ine', 'Miyama'] resolved=['Kyoto'], country found=True",,"Kyoto, Amanohashidate, Ine, Miyama",Kyoto,Japan,Japan,0,,,live
464668,OSAKA e-PASS,inserted,,6a1597cb89b19804ccc46696,Osaka,Osaka,Japan,Japan,1,1499.28,224.89,live
542841,Osaka Car Rental with Driver to Kyoto/Nara/Kobe - English/Chinese Speaking Driver,skipped_location,"city missing=['Wakayama', 'Shiga', 'Himeji'] resolved=['Osaka'], country found=True",,"Osaka, Wakayama, Shiga, Himeji",Osaka,Japan,Japan,0,,,live
315280,Kyoto Day Tour with Optional Lunch,inserted,,6a1597cb89b19804ccc46699,Kyoto,Kyoto,Japan,Japan,2,12495.34,1874.3,live
600003,Kyoto Amanohashidate & Ine Funaya & Ine Bay Scenic Day Trip (Departing from Osaka or Kyoto),skipped_location,"city missing=['Amanohashidate', 'Ine'] resolved=['Kyoto'], country found=True",,"Kyoto, Amanohashidate, Ine",Kyoto,Japan,Japan,0,,,live
383048,Churashima Okinawa Bus Day Tour (Naha or Chatan Departure),skipped_location,"city missing=['Naha', 'Okinawa'] resolved=[], country found=True",,"Naha, Okinawa",,Japan,Japan,0,,,live
