activity_code,activity_id,title,price_count,image_count,status,reason,mode
E-E10-A1MLNO1487,68caf52138bc2f92a80ba7b0,Explore Mount Fuji Area  with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1707,68caf52138bc2f92a80ba7be,Japan Data eSIM,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1491,68caf52138bc2f92a80ba7b4, Explore Osaka with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1492,68caf52138bc2f92a80ba7b5,Explore Kyoto with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1756,68caf52138bc2f92a80ba7bb,Discover Kyoto with a Local Guide - Private Walking Tour ,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1493,68caf52138bc2f92a80ba7b6,Explore Nara with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1488,68caf52138bc2f92a80ba7b1, Explore Hakone Area with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1489,68caf52138bc2f92a80ba7b2, Explore Kamakura with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1757,68caf52138bc2f92a80ba7bc, Discover Tokyo with a Local Guide - Private Walking Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1763,68caf52138bc2f92a80ba814,Explore Arashiyama Bamboo Grove -  Private Walking Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1764,68caf52138bc2f92a80ba815,Explore Gion District at Night - Private Walking Tour ,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1494,68caf52138bc2f92a80ba7b7, Explore Kobe with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1851,68caf52138bc2f92a80ba81c,Universal Studios Japan  Private Transfer Service,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1495,68caf52138bc2f92a80ba7b8, Explore Kyoto with Customizable Itinerary - Full-Day Private Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1758,68caf52138bc2f92a80ba812,Discover Osaka with a Local Guide - Private Walking Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1850,68caf52138bc2f92a80ba81b,Tokyo Disneyland Private Transfer Service,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1MLNO1762,68caf52138bc2f92a80ba813,"Explore Gion, the Iconic Geisha District - Private Walking Tour ",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0840,68caf52238bc2f92a80ba922,Tokyo Skytree® - Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0904,68caf52238bc2f92a80ba93b,Hedgehog Cafe - Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0835,68caf52238bc2f92a80ba936,Beyond Arashiyama Bamboo Forest: Trekking with Authentic Zen Temple Monk Experience,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0895,68caf52238bc2f92a80ba945,Ontabi Kyoto Uji Day Tour (Bus tour),0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0828,68caf52238bc2f92a80ba91f,Tokyo Subway Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0846,68caf52238bc2f92a80ba926,Tokyo Sky Tree Ticket + 48 Hour Tokyo Subway Ticket +  Keikyu Hatoku Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0807,68caf52238bc2f92a80ba927,LEGOLAND Discovery Center Osaka - Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0866,68caf52238bc2f92a80ba92f,Yurikamome 1-Day Ticket and Small Worlds - Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0867,68caf52238bc2f92a80ba930,Explore Tokyo by Electric Powered Bike - Guided Cycling Tour ,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0829,68caf52238bc2f92a80ba94b,LEGOLAND Discovery Centre Tokyo - Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO1054,68caf52238bc2f92a80ba955, One-Way Transfer to Madame Tussauds Tokyo and Odaiba DECKS Tokyo Beach,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0865,68caf52238bc2f92a80ba92e,TeamLab Planets TOKYO DMM - Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0900,68caf52238bc2f92a80ba94a,Full day Osaka Walking Tour with Government Licensed Guide (Private),0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO1047,68caf52238bc2f92a80ba94e,One-Way Transfer to Odaiba Seaside Park ,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0839,68caf52238bc2f92a80ba921,Tokyo Skytree Ticket with Traditional Glass Carving Experience,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0830,68caf52238bc2f92a80ba931,Private Kyoto Gion Night Walking Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A1NSNO0907,68caf52238bc2f92a80ba93e,"Traditional Japanese Sweet, Wagashi Making Class ",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
